# BEAST v1.8.2, r6687
# Generated Thu May 07 16:00:20 CDT 2015 [seed=1431032402273]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	coalescent
0	-4874.713976494204	-2711.6065563233306	-2163.1074201708734	1.0	0.066	6.6E-5	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032	0.3333333333333333	0.026752381392634892	0.3376421857750385	0.7312951838372227	-2163.1074201708734	-2471.6498580053394
1000	-1924.3639563406764	-264.62850734409733	-1659.7354489965792	0.9986798230795257	0.8325205475786194	5.246609307991642	2.9269993861534935	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04259358223102088	1.503598244662283	0.03570156773656344	1.919671385007133	-0.1301000922971399	-1659.7354489965792	-17.50125232547039
2000	-1917.9676502665804	-260.7983804799892	-1657.1692697865913	1.061137508810225	1.0487903613697969	3.650398534040478	0.508873384382138	1.928085648939581	0.25454474546544326	0.24545525453455672	0.2500000001	0.2499999999	0.035288208536783196	1.2833054013350598	0.024959483827640308	1.4252777331920001	0.03692205151777179	-1657.1692697865913	-15.895521433321212
3000	-1912.7059749178995	-263.6968538588972	-1649.0091210590024	1.0614289797630436	1.049808229537106	1.6599518013445993	0.7991486552868363	2.306004770497407	0.25382560755394395	0.24545525453455672	0.2500000001	0.2507191378114993	0.03994475131475769	1.5605329645832977	0.02823825953349697	1.8955402312611627	-0.024516051034032715	-1649.0091210590024	-17.37927811469015
4000	-1927.2906312047458	-263.8222700465268	-1663.468361158219	1.066373745412312	1.408550024123069	3.323044920777139	0.27157050810431815	2.306004770497407	0.25509639217525737	0.24545525453455672	0.24872921547868657	0.2507191378114993	0.036519008220258053	1.3401873263455881	0.02473008917315608	1.505686005054899	0.046692428433961805	-1663.468361158219	-18.93466134386361
5000	-1910.7197581450723	-257.257634546918	-1653.4621235981544	1.056744451737036	1.194139192721169	1.0435854240284628	0.28804134712943347	2.306004770497407	0.25509639217525737	0.24545525453455672	0.24872921547868657	0.2507191378114993	0.027712898848085622	1.2448950693597562	0.03146092135197814	1.5250277228783415	-0.020292325400118286	-1653.4621235981544	-12.783977079948441
6000	-1907.7992511276143	-259.3479182123046	-1648.4513329153096	0.9659285149746363	1.3257768071386806	1.6282893429951675	0.2239875594340782	2.046030176246312	0.2632537696603726	0.24723585897641726	0.23879123355171078	0.2507191378114993	0.037637964812316134	1.6275461769954407	0.038476429225974884	2.315215603306763	-0.10747194338175443	-1648.4513329153096	-13.969918750133845
7000	-1908.9799250577794	-263.05480821810625	-1645.9251168396731	0.9254750542552731	1.3235909836281814	1.0525505016071746	0.43177591703586043	2.046030176246312	0.2632537696603726	0.24723585897641726	0.23879123355171078	0.2507191378114993	0.03333395393794472	1.6743064312185945	0.03168645863504433	2.2011977444196797	-0.03929218220684231	-1645.9251168396731	-16.887811246702114
8000	-1911.917081550369	-263.5086740131411	-1648.408407537228	1.088229139054494	1.8545117874389148	1.0444372514696247	0.5269968918189563	2.035780010762775	0.2632537696603726	0.24723585897641726	0.23879123355171078	0.2507191378114993	0.025791282434220696	1.3923544127654663	0.026937307716647197	1.4220752112118598	0.10508463735808936	-1648.408407537228	-17.655254903346474
9000	-1914.434637214917	-264.6288644339314	-1649.8057727809855	1.0365891429804512	1.5578943352976244	2.4811568522003267	0.6418699472765107	2.630883579235788	0.2632537696603726	0.24133520794863214	0.2446918845794959	0.2507191378114993	0.022781121747189024	1.5603104119299682	0.026496626059599758	1.5685922910499057	-0.16922254754623478	-1649.8057727809855	-18.004994458389145
