# BEAST v1.8.2, r6687
# Generated Thu May 21 15:58:53 CDT 2015 [seed=1432241910867]
state	posterior	prior	likelihood	treeModel.rootHeight	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
0	-40648.721284896485	-29895.225416826735	-10753.495868069745	1.0	290.0	0.5	0.01	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.032	0.3333333333333333	0.025856595294016765	0.34152933626565746	0.605421854306529	-10753.495868069745	-29653.296672229488
1000	-12025.649976069006	-3152.4112802170102	-8873.238695851996	0.9932105848351068	59.28600537875576	0.1322283933705811	0.0048247680049708095	2.2452711644699743	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06813550697527428	1.272387060418212	0.03069189754628102	1.796449773441274	0.3716402520650391	-8873.238695851996	-2907.5681309253478
2000	-8209.71014010442	-261.6126867012175	-7948.097453403202	0.94883573556314	11.614051793338511	0.2902502723467783	0.001501916782545387	2.2452711644699743	0.2500000001	0.241689567808362	0.2500000001	0.25831043199163795	0.13857709077992234	1.7088771413144954	0.038815825979850546	3.0044609395867847	0.297022908211129	-7948.097453403202	-15.46006716686628
3000	-7842.531302531154	-240.88391891364986	-7601.647383617505	0.9167025457914019	11.126596461286274	0.625459022415022	0.0015740341837725653	2.2452711644699743	0.2500000001	0.241689567808362	0.2500000001	0.25831043199163795	0.157051712034673	1.7473802902803828	0.03741770205014387	3.2046549236544055	0.2876668456768098	-7601.647383617505	5.384210067599016
4000	-7736.86835704031	-233.7169131098124	-7503.151443930497	0.9072030122230046	9.044419266267985	0.7807601474125156	0.0033237464113008825	2.3204465503415572	0.2500000001	0.2361663228121896	0.2555232450961724	0.25831043199163795	0.1841136913652627	1.8477651649689175	0.04020811647327031	3.530238504627243	0.274755123455711	-7503.151443930497	12.881621481745956
5000	-7616.367449675711	-232.70961056907498	-7383.657839106636	0.9144174600282319	8.39205660278574	0.5180244917540868	0.010577520328497248	2.3204465503415572	0.2500000001	0.22898169393238535	0.26270787397597667	0.25831043199163795	0.19566327636493777	1.8486732440424825	0.04200852580726184	3.662197222258724	0.2629774699745774	-7383.657839106636	13.89164825970407
6000	-7553.878913750359	-223.56020482677278	-7330.318708923586	0.9371166240731706	8.072130837262508	0.7715994026251469	0.009651136384537842	2.5803444360741645	0.2500000001	0.22898169393238535	0.26270787397597667	0.25831043199163795	0.1953419310076397	1.9126723796313214	0.04288587753780433	3.8064324224180712	0.28794454135075553	-7330.318708923586	23.332069700334163
7000	-7497.614110300169	-223.274823842503	-7274.339286457666	1.078004962205164	7.350137574565684	0.7462788928136593	0.013926395839388825	2.9959372815629157	0.2500000001	0.22898169393238535	0.26270787397597667	0.25831043199163795	0.20339746601203812	1.8932195600058852	0.04422367730593658	3.7632929207762507	0.29268797004948377	-7274.339286457666	23.71058548055747
8000	-7487.088760709041	-239.11309406390268	-7247.9756666451385	1.057308396634188	6.948238882598789	0.44073660621410427	0.027129522854667604	2.801145379438309	0.2500000001	0.22898169393238535	0.26270787397597667	0.25831043199163795	0.20629986841063042	1.9832429741718698	0.04321144490110805	4.026309800486295	0.280357544476311	-7247.9756666451385	8.072418449519194
9000	-7419.880104726614	-227.472194857808	-7192.407909868806	1.0641430934541258	6.924203970634066	0.26519601920617447	0.05254747285991034	2.801145379438309	0.2590445003526343	0.22898169393238535	0.25366337372334236	0.25831043199163795	0.2090608857767259	2.0226296422979306	0.04295798382969166	4.149283045442653	0.2645616410951454	-7192.407909868806	19.831477659992075
